variant,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,latency_ms_mean,latency_ms_std,fps_mean,fps_std,params_mean,macs_mean,macs_std,flops_approx_mean,flops_approx_std,thop_params_mean,thop_params_std,model_file_size_mb_mean,model_file_size_mb_std,pth_model_size_mb_mean,pth_model_size_mb_std,onnx_model_size_mb_mean,onnx_model_size_mb_std,tensorrt_engine_size_mb_mean,tensorrt_engine_size_mb_std,onnx_max_abs_diff_mean,onnx_max_abs_diff_std,onnx_argmax_match_mean,onnx_argmax_match_std,dataset
ablation_plain_mlp,0.8217821782178218,0.0881565042190962,0.7771242769995383,0.1150672900911688,0.8047639082377337,0.1073695246794087,0.809452900065682,0.1075653210732781,0.7881612038754897,0.0963787105505572,0.2072778000147082,0.0058369239976387,4827.458083186674,133.83520445369533,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6563224792480469,8.529922399512313e-06,0.6563224792480469,8.529922399512313e-06,,,,,,,,,asl_dataset
full_model,0.8950495049504952,0.0272552116462872,0.8854314158864096,0.0304709635101608,0.8931842636721999,0.0269336058058677,0.8950054434115691,0.0282565160338488,0.8899812885527172,0.0295323035216356,0.7159272000426427,0.2684133636393431,1549.6139928409784,509.9741542857405,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,1.4241437911987305,0.0,,,2.574920654296875e-06,7.231593555499601e-07,1.0,0.0,asl_dataset
full_model_wo_anatomical_loss,0.8917491749174917,0.023730268002967,0.8824062210209652,0.0261310256287052,0.8897500557332183,0.0250072647837156,0.8886577070406128,0.0254479457704213,0.8870417677560536,0.0243428880071878,0.5049573999131098,0.076687043463432,2011.394168479645,255.6138926039737,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4150390625,1.2794883599280108e-05,1.4150390625,1.2794883599280108e-05,1.4241418838500977,0.0,,,2.002716064453125e-06,1.074207337004548e-06,1.0,0.0,asl_dataset
plus_anatomical_loss,0.8924092409240924,0.0169252559801426,0.8805959706232359,0.0181812246683371,0.8903691471103488,0.0182632353126691,0.8891977665191952,0.018625716043989,0.8826866784009642,0.0166874926049573,0.9063596000196412,0.5588320022206074,1460.910165418115,728.6950880810449,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4162275314331054,1.450086807917171e-05,1.4162275314331054,1.450086807917171e-05,,,,,,,,,asl_dataset
plus_normalization,0.8693069306930694,0.0204247504247733,0.8441001921363235,0.0289141759692863,0.8650208904114501,0.0222985749778967,0.8584317345819447,0.0252997726979083,0.8461246689818118,0.0254174448004153,0.2066437999601476,0.0025768135685493,4839.853050730476,60.94380971233454,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6563224792480469,8.529922399512313e-06,0.6563224792480469,8.529922399512313e-06,,,,,,,,,asl_dataset
plus_positional_encoding,0.8970297029702969,0.0315177198318503,0.883046731758456,0.032554688807859,0.8949270744444856,0.0317217149098378,0.8925946637396217,0.0336364056338615,0.8853066774495346,0.0328163999883764,0.2133213999331928,0.0141295295637518,4703.016374148124,287.9629679915458,353116.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.3502479553222655,9.382914639450355e-06,1.3502479553222655,9.382914639450355e-06,,,,,,,,,asl_dataset
plus_residual,0.8699669966996699,0.0393002657336084,0.8516664052954367,0.0519703394816923,0.8655464330928764,0.0430576034435142,0.8615313206462275,0.0489801605993623,0.8549154813440527,0.0491667781124776,0.4881103999796323,0.0373616173869332,2057.7697487256896,148.01845406613492,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4146759033203125,4.0090635277731927e-05,1.4146759033203125,4.0090635277731927e-05,,,,,,,,,asl_dataset
plus_smote,0.8930693069306932,0.0212095960568443,0.8814722219417532,0.0281222889963906,0.8910042184205617,0.0235126044793671,0.8913484519681999,0.0238595996830128,0.8866419294990724,0.0244914306816867,0.5333162000169978,0.0269227546579955,1878.8637938052127,94.20619379170206,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,,,,,,,,,asl_dataset
plus_spatial_attention,0.8382838283828382,0.1051972108944503,0.8169428256008106,0.113635007474811,0.8293373972906078,0.1132482743690366,0.828719556617887,0.1199112786406687,0.8252276295133438,0.1079731171878893,0.4977995998924598,0.0422892282475036,2020.2324055149445,168.24537574222933,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4149389266967771,1.2794883599280108e-05,1.4149389266967771,1.2794883599280108e-05,,,,,,,,,asl_dataset
ablation_plain_mlp,0.9121693121693122,0.0105542126231681,0.8883898143859164,0.0152512880983533,0.90973014823488,0.0108360339293048,0.8998674652737071,0.0176657174165675,0.8877220211512131,0.0143985620303234,0.2072601998806931,0.0209447826634978,4859.975021201065,434.60230432548303,172577.0,171776.0,0.0,343552.0,0.0,172577.0,0.0,0.6612052917480469,8.529922399512313e-06,0.6612052917480469,8.529922399512313e-06,,,,,,,,,indian_sign_language
full_model,0.9660199882422104,0.0074756798866604,0.9614619871735364,0.0086116254526894,0.9660130154657316,0.0076628014016568,0.9607596323648564,0.0070230886154207,0.9636073533602512,0.0098814030139892,0.5344273999799043,0.0302994704095334,1875.904316949412,104.58214834266204,371236.0,360576.0,0.0,721152.0,0.0,353252.0,0.0,1.4208871841430664,1.450086807917171e-05,1.4208871841430664,1.450086807917171e-05,1.429046630859375,0.0,,,9.1552734375e-06,2.4868783589182467e-06,1.0,0.0,indian_sign_language
full_model_wo_anatomical_loss,0.9701352145796592,0.0054264459772907,0.9660065260121288,0.0056718468749362,0.97024634583314,0.0054106559441883,0.965831824372879,0.0074684089894427,0.9678619776081416,0.0044792767665263,0.4891688000061549,0.0322375444171788,2051.316694175531,133.44857018941798,371041.0,356544.0,0.0,713088.0,0.0,353057.0,0.0,1.419921875,1.2794883599280108e-05,1.419921875,1.2794883599280108e-05,1.4290447235107422,0.0,,,8.20159912109375e-06,3.1340936136541337e-06,1.0,0.0,indian_sign_language
plus_anatomical_loss,0.9600235155790712,0.0045156647547728,0.953933395665984,0.0037364195737995,0.95987038213855,0.0045443455524251,0.957250335933756,0.0037357084387665,0.9535260594479912,0.0057681693653161,0.5131944000022486,0.0163834675545751,1950.1123667972165,60.03278750667349,371236.0,360576.0,0.0,721152.0,0.0,353252.0,0.0,1.4211103439331054,1.450086807917171e-05,1.4211103439331054,1.450086807917171e-05,,,,,,,,,indian_sign_language
plus_normalization,0.9462669018224574,0.0064211957300002,0.9372133532145376,0.0124742312252354,0.9456814861373802,0.0067640496736425,0.9447820247293024,0.008717424765569,0.935081857693498,0.0145116718236586,0.2637782000238076,0.099710372940392,4132.7364295734105,1149.352574813614,172577.0,171776.0,0.0,343552.0,0.0,172577.0,0.0,0.6612052917480469,8.529922399512313e-06,0.6612052917480469,8.529922399512313e-06,,,,,,,,,indian_sign_language
plus_positional_encoding,0.9543797766019988,0.0061742390843579,0.9481328634136976,0.0080909377764281,0.9540213993228412,0.0064940127129172,0.9522201041948876,0.0031624773391369,0.9474323596000238,0.0100208321497975,0.2298091999837197,0.0370769331280546,4433.120932176636,635.8955944231808,354401.0,356544.0,0.0,713088.0,0.0,353057.0,0.0,1.3551307678222655,9.382914639450355e-06,1.3551307678222655,9.382914639450355e-06,,,,,,,,,indian_sign_language
plus_residual,0.9594356261022928,0.0032995215050916,0.9550157671668632,0.0049456604153224,0.9592533423147422,0.0034327176492174,0.958769523868059,0.0034154125590566,0.9544878665586668,0.0071685320918307,0.5326744000194594,0.067399903688475,1899.777921003972,222.36837233955308,371041.0,356544.0,0.0,713088.0,0.0,353057.0,0.0,1.4196197509765625,4.0090635277731927e-05,1.4196197509765625,4.0090635277731927e-05,,,,,,,,,indian_sign_language
plus_smote,0.969077013521458,0.0013534232137826,0.9642296835389128,0.002084912852035,0.9691564318769452,0.0014375802616999,0.9635397807330552,0.0007769492044169,0.966591192417506,0.0038675747878169,0.5261378001305275,0.0104614533190502,1901.250258653286,38.19663713707779,371236.0,360576.0,0.0,721152.0,0.0,353252.0,0.0,1.4208871841430664,1.450086807917171e-05,1.4208871841430664,1.450086807917171e-05,,,,,,,,,indian_sign_language
plus_spatial_attention,0.9539094650205762,0.0092356669660931,0.9486662905973716,0.0099497412681018,0.9537538979349908,0.0095139496561476,0.952756196859684,0.0057339193833814,0.948100339160507,0.0119202502225912,0.619046600011643,0.2839371437494509,1808.9332469906544,533.5726922909506,371041.0,356544.0,0.0,713088.0,0.0,353057.0,0.0,1.4198217391967771,1.2794883599280108e-05,1.4198217391967771,1.2794883599280108e-05,,,,,,,,,indian_sign_language
ablation_plain_mlp,0.4130434782608695,0.2604162728415422,0.3572190112967103,0.2912961387903068,0.3460590625844274,0.2854144303943117,0.3625968604664257,0.3049560107766484,0.4279999999999999,0.2653441161963084,0.215771599963773,0.0115016651991057,4644.551776462099,235.14546208828315,166666.0,165888.0,0.0,331776.0,0.0,166666.0,0.0,0.6386222839355469,8.529922399512313e-06,0.6386222839355469,8.529922399512313e-06,,,,,,,,,nus_hand_posture
full_model,0.917391304347826,0.0388881387391268,0.9148600288600288,0.0413659577991146,0.9134606938954766,0.0415676190616177,0.937809523809524,0.0298115775954604,0.917,0.0391471582621268,0.5741074000252411,0.0678101756018012,1760.2422281097995,195.0816971695517,365325.0,354688.0,0.0,709376.0,0.0,347341.0,0.0,1.3983041763305664,1.450086807917171e-05,1.3983041763305664,1.450086807917171e-05,1.406494140625,0.0,,,2.1755695343017578e-07,7.420718430273969e-08,1.0,0.0,nus_hand_posture
full_model_wo_anatomical_loss,0.9391304347826088,0.0097220346847816,0.938987012987013,0.0109992241913662,0.9377533094924398,0.0095941736111284,0.9532380952380952,0.0110112290654985,0.939,0.0124498995979887,0.4856807999894954,0.0087963626817396,2059.5013746428585,36.98777010871144,365130.0,350656.0,0.0,701312.0,0.0,347146.0,0.0,1.39739990234375,1.2794883599280108e-05,1.39739990234375,1.2794883599280108e-05,1.4064922332763672,0.0,,,3.099441528320313e-07,1.342759171255685e-07,1.0,0.0,nus_hand_posture
plus_anatomical_loss,0.8956521739130435,0.0541299982521249,0.8868795648795649,0.0676988345298705,0.8848656416047721,0.0700230837958759,0.9080714285714286,0.0744944411933365,0.8949999999999999,0.0522015325445527,0.7102534000296146,0.4297870266748313,1679.653720512061,561.4736908891219,365325.0,354688.0,0.0,709376.0,0.0,347341.0,0.0,1.3985273361206054,1.450086807917171e-05,1.3985273361206054,1.450086807917171e-05,,,,,,,,,nus_hand_posture
plus_normalization,0.8347826086956521,0.0662954377477256,0.820109113109113,0.0803148586187536,0.8131470220600656,0.0853189012913558,0.8417319902319903,0.0851775613081964,0.842,0.0616035713250457,0.2688626000308431,0.128013201992034,4184.0034187747615,1221.9900370284272,166666.0,165888.0,0.0,331776.0,0.0,166666.0,0.0,0.6386222839355469,8.529922399512313e-06,0.6386222839355469,8.529922399512313e-06,,,,,,,,,nus_hand_posture
plus_positional_encoding,0.8913043478260869,0.0633799119004923,0.8864805194805194,0.077083768456891,0.8823787565091914,0.0812467194272901,0.9111746031746032,0.0783590684796645,0.8939999999999999,0.0597285526360717,0.2807920000632293,0.0732398734726367,3735.9624232838582,854.2427294015838,348490.0,350656.0,0.0,701312.0,0.0,347146.0,0.0,1.3326087951660155,9.382914639450355e-06,1.3326087951660155,9.382914639450355e-06,,,,,,,,,nus_hand_posture
plus_residual,0.9,0.0792807936035237,0.8931825951825951,0.0903646591493233,0.8911128967650708,0.0932980473350383,0.9106269841269844,0.0903664242955296,0.9,0.0777817459305202,0.4993112000520341,0.0459862994142776,2015.169395673581,168.6104740397357,365130.0,350656.0,0.0,701312.0,0.0,347146.0,0.0,1.3970367431640625,4.0090635277731927e-05,1.3970367431640625,4.0090635277731927e-05,,,,,,,,,nus_hand_posture
plus_smote,0.917391304347826,0.0789821831503693,0.9110894660894662,0.0908000259093714,0.9092367777150386,0.0947237725555588,0.9253333333333332,0.0884121712104198,0.918,0.0736206492772238,0.7981919998419471,0.5935604748462667,1610.359243749945,602.3544683974094,365325.0,354688.0,0.0,709376.0,0.0,347341.0,0.0,1.3983041763305664,1.450086807917171e-05,1.3983041763305664,1.450086807917171e-05,,,,,,,,,nus_hand_posture
plus_spatial_attention,0.491304347826087,0.0777762774782535,0.391182332160593,0.102312089085904,0.3927277590084773,0.1007167655759399,0.4019669774669774,0.147226799616868,0.491,0.0768439978137524,0.4749578000628389,0.0258352569458006,2110.113855251714,107.17930039359052,365130.0,350656.0,0.0,701312.0,0.0,347146.0,0.0,1.3972387313842771,1.2794883599280108e-05,1.3972387313842771,1.2794883599280108e-05,,,,,,,,,nus_hand_posture
ablation_plain_mlp,0.9869807616804084,0.0010289308727318,0.9850017625683092,0.0013255639691438,0.9869738582255844,0.001039437903775,0.9853276107744904,0.0010649139095535,0.9849867003787016,0.0013921732390388,0.2031068000942468,0.0055865600086641,4926.467199199801,134.04234198487163,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6563224792480469,8.529922399512313e-06,0.6563224792480469,8.529922399512313e-06,,,,,,,,,asl_large_dataset
full_model,0.9917393011385944,0.0009396639372847,0.9902987914640228,0.0010394720201728,0.9917420588936314,0.0009369556730763,0.9902454002225658,0.0010807886474756,0.9904079339203172,0.0010055831783762,0.5231514000915922,0.0198269439298914,1913.6214177740471,70.24877066269396,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,1.4241437911987305,0.0,,,1.41143798828125e-05,7.817803013580017e-06,1.0,0.0,asl_large_dataset
full_model_wo_anatomical_loss,0.9923046721633296,0.0005058538958274,0.990830875820452,0.000453522103559,0.9923065366572096,0.0005043847218198,0.9908296404645192,0.0004764684752183,0.9908810820642868,0.0004314952624479,0.5146587998606265,0.0700348616074109,1970.4290923219385,252.9257640153702,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4150390625,1.2794883599280108e-05,1.4150390625,1.2794883599280108e-05,1.4241418838500977,0.0,,,1.6021728515625e-05,4.1787914848721785e-06,1.0,0.0,asl_large_dataset
plus_anatomical_loss,0.9913780918727916,0.0018275971346791,0.9897457526143024,0.0021548728198634,0.991374514079669,0.0018291055620764,0.9898853095142728,0.0019996352170052,0.9897431635669544,0.0021747124520048,0.5459857999230735,0.0572620089889106,1845.8487639579437,170.48898298326012,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4162275314331054,1.450086807917171e-05,1.4162275314331054,1.450086807917171e-05,,,,,,,,,asl_large_dataset
plus_normalization,0.9890851982724774,0.0007613160357151,0.9873112596603728,0.0007441332121069,0.9890793092968636,0.0007630138322921,0.9874385642976816,0.0006481072777894,0.9873612208764172,0.0007751015742137,0.2068356000236235,0.0045442437955404,4836.59608022041,104.60952482425569,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6563224792480469,8.529922399512313e-06,0.6563224792480469,8.529922399512313e-06,,,,,,,,,asl_large_dataset
plus_positional_encoding,0.9907813113466822,0.0013390544953148,0.989352902668828,0.0012781283679369,0.9907761912542978,0.0013417944372926,0.989406080280078,0.0012487632008108,0.9893918333688784,0.0012822267470388,0.2078671999042853,0.0063187396067683,4814.252448405639,143.50029792040593,353116.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.3502479553222655,9.382914639450355e-06,1.3502479553222655,9.382914639450355e-06,,,,,,,,,asl_large_dataset
plus_residual,0.9909069493521792,0.0012727147785489,0.9890395269150426,0.0015558378377018,0.9908983256948118,0.0012766211852825,0.9892309149040648,0.0014271988747078,0.989043205261152,0.0015787220947048,0.5137112000957131,0.0762054908886151,1977.2279288052391,259.0118232074912,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4146759033203125,4.0090635277731927e-05,1.4146759033203125,4.0090635277731927e-05,,,,,,,,,asl_large_dataset
plus_smote,0.9913780918727916,0.000801557921016,0.9898504738154632,0.0007787321260159,0.9913781638712336,0.0008008070350892,0.9898404085074912,0.000713300585074,0.9899332164785488,0.0008463430430169,0.5266997999278829,0.0214347533875119,1901.026126662106,74.0839103806651,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,,,,,,,,,asl_large_dataset
plus_spatial_attention,0.989996073812328,0.0019525433013052,0.9879618570277934,0.0024045717058445,0.989994387345694,0.0019479054808934,0.9879460879366032,0.0025721794522661,0.9880744584882664,0.002241470960571,0.5104017999838106,0.0284729915706634,1964.4978460808857,117.8243813017066,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4149389266967771,1.2794883599280108e-05,1.4149389266967771,1.2794883599280108e-05,,,,,,,,,asl_large_dataset
